feature,importance
diff_win_rate_10,0.021728143
t2_w20_win_rate,0.017004877
t2_w10_win_rate,0.014188578
diff_win_rate_20,0.014046378
t1_w5_form_last5,0.013535181
elo_diff,0.013522353
t1_w20_avg_kast,0.013310358
t1_w10_adr_std,0.013309221
t2_w5_avg_opening_kills,0.013102623
t2_w20_avg_hs_kills,0.012826767
h2h_win_rate,0.01277458
t2_w20_avg_multi_kills,0.0126765305
t2_w5_avg_adr,0.012643407
t2_w5_avg_rating,0.012379963
t2_w20_adr_std,0.012352486
t2_elo,0.011731525
diff_avg_adr_5,0.011693715
t1_w5_win_rate,0.011595703
diff_avg_adr_20,0.01149806
t2_w5_win_rate,0.011455302
t2_w20_avg_opening_kills,0.011440739
t1_w20_avg_clutches,0.011397351
t2_w20_avg_opening_kd,0.011389982
t2_w20_avg_clutches,0.011378026
t2_w20_avg_adr,0.011242756
diff_avg_multi_kills_5,0.011186962
t2_w10_avg_adr,0.011163705
t1_w10_avg_kast,0.011155047
t1_w5_adr_std,0.011109779
diff_avg_opening_kd_20,0.011073097
t2_w5_avg_opening_kd,0.010911888
t2_w20_rating_std,0.010867148
t2_w10_avg_opening_kd,0.010823072
t1_w20_avg_adr,0.010786554
t1_w10_avg_multi_kills,0.01077655
t1_w10_win_rate,0.010751552
t1_w5_avg_hs_kills,0.010664459
t2_w5_avg_kast,0.010659615
diff_avg_kast_20,0.010635831
diff_avg_rating_20,0.0106158955
t1_w20_avg_rating,0.010592694
diff_avg_kast_10,0.01057681
t1_w10_avg_clutches,0.010543463
t2_w5_rating_std,0.010522859
t1_w5_rating_std,0.010498342
t1_w5_avg_adr,0.010465443
t1_elo,0.010445702
t2_w10_avg_hs_kills,0.010436446
t2_w10_avg_clutches,0.010423462
t1_w10_avg_hs_kills,0.010360091
t1_w10_avg_adr,0.010351623
h2h_total,0.010312668
diff_avg_adr_10,0.010297711
diff_avg_clutches_20,0.010086406
t1_w20_win_rate,0.010054908
t2_w10_avg_rating,0.010013191
t2_w10_adr_std,0.010007863
t2_w20_avg_rating,0.009979835
t1_w10_rating_std,0.009904299
diff_avg_multi_kills_10,0.009892653
diff_avg_rating_10,0.009824962
diff_avg_kast_5,0.009792061
t1_w5_avg_clutches,0.0097256005
t2_w20_avg_kast,0.009704328
t2_w10_rating_std,0.009680884
t2_w5_avg_clutches,0.00963462
diff_avg_opening_kd_5,0.009518804
diff_win_rate_5,0.0094618285
t1_w5_avg_rating,0.009455987
h2h_last5_wins,0.009398043
t1_w10_avg_opening_kills,0.009289798
t1_w10_avg_opening_kd,0.009255576
t1_w5_avg_opening_kills,0.009179289
diff_avg_clutches_10,0.00915734
t2_w5_avg_multi_kills,0.009116603
t1_w20_adr_std,0.009018231
t1_w5_avg_multi_kills,0.008983884
t1_w20_avg_opening_kd,0.008904427
diff_avg_clutches_5,0.0088426545
t1_w20_avg_hs_kills,0.008841253
t1_w20_avg_multi_kills,0.008794037
t1_w5_avg_opening_kd,0.008762985
t1_w20_rating_std,0.008739322
diff_avg_multi_kills_20,0.008641962
t2_w10_avg_kast,0.008633505
t1_w10_avg_rating,0.008470067
t2_w5_adr_std,0.008425646
t2_w5_avg_hs_kills,0.00841104
diff_avg_opening_kd_10,0.008376856
t2_w10_avg_opening_kills,0.00824822
t2_w10_avg_multi_kills,0.008193729
t1_w20_avg_opening_kills,0.007909935
t1_w5_avg_kast,0.00785259
diff_avg_rating_5,0.007651951
t1_w10_form_last5,0.0029297373
ranking_diff,0.0
t2_valve_ranking,0.0
t1_world_ranking,0.0
t1_w5_avg_flash_assists,0.0
t1_valve_ranking,0.0
t2_world_ranking,0.0
t1_weeks_top30,0.0
t2_avg_age,0.0
t1_avg_age,0.0
t2_weeks_top30,0.0
t1_w10_avg_flash_assists,0.0
t1_w20_avg_flash_assists,0.0
t1_w20_form_last5,0.0
t2_w5_form_last5,0.0
t2_w5_avg_flash_assists,0.0
t2_w10_avg_flash_assists,0.0
t2_w10_form_last5,0.0
t2_w20_avg_flash_assists,0.0
t2_w20_form_last5,0.0
