team,region
-72c,Europe
100 Thieves,Europe
1WIN,Europe
1win,Europe
2070,Americas
2GAME,Americas
33,Europe
3DMAX,Europe
500,Europe
5Actors,Europe
5star,Asia
777,Europe
888aura,Europe
8Sins,Europe
9 Pandas,Europe
900FPSvsECO,Americas
9BOOMPRO,Europe
9INE,Europe
9z,Americas
9z Academy,Americas
ACROBATS,Europe
ADEPTS,Europe
AKA HERO KAJO,Europe
ALASKA,Europe
ALGO,Europe
ALKA,Americas
ALLINNERS,Europe
ALTERNATE aTTaX,Europe
ALZON,Americas
AM,Europe
AMKAL,Europe
ARCRED,Europe
ASPYRE,Americas
ASTRAL,Europe
ATOX,Asia
AURA,Europe
AaB,Europe
Abyssal,Asia
Acend,Europe
Adventurers,Europe
Aether,Americas
Aetheris,Europe
Akimbo,Asia
Akuma,Europe
Al-Ittihad,Asia
Alliance,Europe
Alter Ego,Asia
Alter Iron,Americas
América,Americas
Animus Victoria,Asia
Anonymo,Europe
Apeks,Europe
Apogee,Europe
Arcade,Asia
Argentina,Americas
Arise,Asia
Arrival Seven,Americas
Arrow,Europe
Astralis,Europe
Astralis Talent,Europe
Astralis W,Europe
Astrum,Europe
Atreides,Europe
Atrix,Americas
Aurora,Europe
Aurora Young Blud,Europe
Aware fe,Americas
B8,Europe
BA 2,Europe
BASEMENT BOYS,Europe
BBBMBCBS,Asia
BC.Game,Europe
BESTIA,Americas
BESTIA Academy,Americas
BET-M,Europe
BIG,Europe
BIG Academy,Europe
BIG EQUIPA,Europe
BLEED,Europe
BLUEJAYS,Americas
BMZ,Asia
BORING PLAYERS,Asia
BOSS,Americas
BRUTE,Europe
Back to Back,Americas
Back2TheGame,Europe
Bad Luck,Americas
Bad News Capybaras,Americas
Bad News Chickens,Americas
Bad News Kangaroos,Asia
BadGuys,Europe
Basement Bobs,Europe
Bebop,Europe
BetBoom,Europe
Betclic,Europe
Betera,Europe
Beyond Limits,Americas
Big W,Asia
Black Mold,Americas
Blitzkrieg,Americas
Blue Otter Karma,Americas
Bounty Hunters,Americas
Bounty Hunters fe,Americas
Bromo,Asia
Bushido Wildcats,Europe
CALAOSCORNOS,Europe
CAPIVARAS,Americas
CPH Wolves,Europe
CRIMSON,Asia
CS2News,Europe
CS2News Ladies,Europe
CSDIILIT,Europe
CYBERSHOKE,Europe
CYBERSHOKE Prospects,Europe
Canada,Americas
Carpe Diem,Americas
Case,Americas
CatEvil,Asia
Change The Game,Asia
Charrados,Americas
Chicken Coop,Americas
Chile,Americas
Chill Guys,Americas
Chimera,Europe
Chinggis Warriors,Asia
Cloud9,Europe
Club 333,Americas
Clutch,Asia
Clutchain,Europe
Clutchain fe,Europe
ComeBack,Europe
Complexity,Americas
Corinthians,Americas
Crashers,Americas
Crescent fe,Europe
Curralzinho,Americas
Czech Republic,Europe
DASH,Europe
DEPO,Asia
DESEMPREGO,Europe
DETONATE,Americas
DMS,Europe
DOG,Asia
DONSTU,Europe
DRILLAS,Europe
DXA,Asia
Daaku,Europe
Dark Cloud,Europe
Dashskins,Americas
Daystar,Europe
Deep Cross,Asia
Delta,Europe
Denmark fe,Europe
Diamant,Europe
Ding Cuts,Asia
DogEvil,Asia
Drama,Europe
Dripmen,Europe
Dusty Roots,Americas
Dusty Roses,Americas
Dziuseppe,Europe
E-Xolos LAZER,Americas
EC BANGA,Europe
ECLOT,Europe
ECSTATIC,Europe
ELITES,Americas
EMPIRE,Americas
ENCE,Europe
ENCE Academy,Europe
ENCE Athena,Europe
ESC,Europe
EXSAD,Europe
EYEBALLERS,Europe
Eco Warriors,Europe
Elevate,Americas
Endless Journey,Europe
Endpoint,Europe
Enjoy,Europe
Enterprise,Europe
Entropiq,Europe
Entropy,Europe
Eruption,Asia
Eternal Fire,Europe
Exceritus,Americas
F5,Americas
FACEITPLAYERS,Europe
FAVBET,Europe
FLUFFY AIMERS,Americas
FLUFFY MAFIA,Europe
FLuffy Gangsters,Europe
FOKUS,Europe
FOLHA AMARELA,Americas
FORZE,Europe
FORZE Reload,Europe
FRZ,Americas
FULL SEND,Americas
FURIA,Americas
FURIA Academy,Americas
FURIA fe,Americas
FURY,Asia
FUT,Europe
FUT Academy,Europe
FaZe,Europe
Fake do Biru,Americas
Falcons,Europe
Falcons Force,Europe
Famalicão,Europe
Familia Maquininha,Americas
FarmVille,Americas
Fated Rise,Asia
Fearless Cheetahs,Europe
FengDa,Asia
Final Form,Americas
Fingers Crossed,Europe
Fingers Crossed fe,Europe
Fire Flux,Europe
Fisher College,Europe
Flame Sharks fe,Europe
Flamengo,Americas
Floripa Stars,Americas
Flshbck,Asia
Fluxo,Americas
Fluxo Demons,Americas
FlyQuest,Asia
FlyQuest RED,Americas
Four Magic,Americas
Four Magic fe,Americas
France fe,Europe
Fraud5,Europe
Friendly Campers,Europe
Fuego,Americas
Fuzos,Europe
G2,Europe
G2 Ares,Europe
GAMEHARMONY,Europe
GATERON,Asia
GL Academy,Europe
GLORE,Europe
GR,Europe
GTZ,Europe
GUARA,Americas
GUN5,Europe
Gaimin Gladiators,Americas
Galorys,Americas
Galorys Academy,Americas
GameAgents,Europe
GameHunters,Americas
GamerLegion,Europe
Garden Garage,Europe
GenOne,Europe
Gentle Mates,Europe
Getting Info,Americas
Ghost,Americas
GhoulsW,Europe
Gods Reign,Asia
Grannys Knockers,Europe
Grindas,Europe
Ground Zero,Asia
HAVU,Europe
HAWAII,Europe
HEROIC,Europe
HEROIC Academy,Europe
HOTU,Europe
HSG fe,Asia
HYPERSPIRIT,Europe
Haemus,Europe
Hashiras,Europe
Haunted House,Asia
Hawks,Americas
Heimo,Europe
HereWeGoAgain,Americas
Hesta,Europe
Homyno,Americas
Honvéd,Europe
Housebets,Asia
HubaBuba,Europe
Hungary,Europe
Hype,Americas
HyperSpirit,Europe
IDoPieca,Europe
IHC,Asia
INFINITE,Europe
INOX Division,Europe
Iberian Soul,Europe
Illuminar,Europe
Immigrants peek,Europe
Imp Pact fe,Americas
Imperial,Americas
Imperial Academy,Europe
Imperial Valkyries,Europe
Imperial fe,Europe
Impulse GW,Europe
InControl,Americas
Incognito,Americas
Inner Circle,Europe
Inner Circle Academy,Europe
Insilio,Europe
Insomnia,Europe
Intense,Americas
Into the Breach,Europe
Isurus,Americas
JANO,Europe
JERSA,Americas
JOGA DE TERNO,Americas
JUMBO,Europe
JiJieHao,Europe
Johnny Speeds,Europe
Jordan,Asia
Julie&Cie,Europe
Just Players,Europe
Just Swing,Asia
Justice For Tomorrow,Asia
K27,Europe
K27 fe,Europe
KHAN,Europe
KOI,Europe
KOLESIE,Europe
KOMNATA,Europe
KRÜ,Americas
KUUSAMO,Europe
KZG,Asia
Kaleido,Asia
Kappa Bar,Europe
Kazakhstan,Europe
Keyd Stars,Americas
Kiri,Americas
Kosovo,Europe
Kubix,Europe
L&G,Europe
LA MASIA,Europe
LAG,Americas
LAGUNA,Europe
LE-LUX,Asia
LEON,Europe
LFO 2,Europe
LFO 3,Europe
LFO 4,Americas
LITE,Asia
LOBOARMY,Americas
LP,Americas
LaChampionsLiga,Americas
Last Bullet,Asia
Latvia,Europe
Lavked,Europe
Lazer Cats,Europe
Legacy,Americas
Legacy Kingdom,Americas
Legion,Asia
Leo,Europe
Let Her Cook,Europe
Leça,Europe
Lilmix,Europe
Limitless,Americas
Liquid,Americas
Little Bocks,Americas
Lore,Europe
Lotus fe,Americas
Lumen fe,Europe
Lycus Empire,Americas
Lynn Vision,Asia
M1,Europe
M1X KS,Europe
M80,Americas
MAGICOS,Americas
MANA,Europe
MANTRA,Asia
MARKandLARRY,Asia
MASONIC,Europe
MCS,Americas
