team,vrs_name,stage,region,vrs_points,roster
Vitality,Vitality,3,Europe,2081,"apEX, flameZ, mezii, ropz, ZywOo"
Natus Vincere,Natus Vincere,3,Europe,1885,"Aleksib, b1t, iM, makazze, w0nderful"
Falcons,Falcons,3,Europe,1823,"kyousuke, kyxsan, m0NESY, NiKo, TeSeS"
The MongolZ,The MongolZ,3,Asia,1791,"910, bLitz, cobrazera, mzinho, Techno"
PARIVISION,PARIVISION,3,Europe,1747,"BELCHONOKK, Jame, nota, xiELO, zweih"
Aurora,Aurora,3,Europe,1742,"MAJ3R, soulfly, Wicadia, woxic, XANTARES"
FURIA,FURIA,3,Americas,1730,"FalleN, KSCERATO, molodoy, YEKINDAR, yuurih"
MOUZ,MOUZ,3,Europe,1730,"Brollan, Jimpphat, Spinx, torzsi, xertioN"
FUT,FUT,2,Europe,1808,"cmtry, dem0n, dziugss, Krabeni, lauNX"
Spirit,Spirit,2,Europe,1807,"donk, magixx, sh1ro, tN1R, zont1x"
Astralis,Astralis,2,Europe,1800,"HooXi, jabbi, phzy, ryu, Staehr"
G2,G2,2,Europe,1673,"HeavyGod, huNter-, MATYS, NertZ, SunPayus"
Legacy,Legacy,2,Americas,1562,"arT, dumau, latto, n1ssim, saadzin"
paiN,paiN,2,Americas,1532,"biguzera, nqz, piriajr, snow, vsm"
Monte,Monte,2,Europe,1529,"afro, AZUWU, Bymas, Gizmy, Rainwaker"
9z,9z,2,Americas,1508,"dgt, HUASOPEEK, luchov, max, meyern"
GamerLegion,GamerLegion,1,Europe,1566,"hypex, PR, REZ, Snax, Tauson"
B8,B8,1,Europe,1547,"alex666, esenthial, kensizor, npl, s1zzi"
HEROIC,HEROIC,1,Europe,1482,"Chr1zN, nilo, susp, xfl0ud, yxngstxr"
BetBoom,BetBoom,1,Europe,1471,"Boombl4, FL4MUS, Magnojez, S1ren, zorte"
BIG,BIG,1,Europe,1445,"blameF, faveN, gr1ks, JDC, tabseN"
M80,M80,1,Americas,1417,"JBa, Lake, s1n, slaxz-, Swisher"
MIBR,MIBR,1,Americas,1402,"brnz4n, insani, kl1m, LNZ, venomzera"
SINNERS,SINNERS,1,Europe,1379,"beastik, kisserek, MoDo, SHOCK, stressarN"
NRG,NRG,1,Americas,1375,"br0, Grim, nitr0, oSee, Sonic"
TYLOO,TYLOO,1,Asia,1348,"JamYoung, Jee, Mercury, Moseyuh, Zero"
Sharks,Sharks,1,Americas,1334,"doc, gafolo, koala, maxxkor, rdnzao"
Gaimin Gladiators,Gaimin Gladiators,1,Americas,1319,"felps, HEN1, JOTA, Luken, NEKIZ"
Team Liquid,Liquid,1,Americas,1267,"EliGE, malbsMd, NAF, siuhy, ultimate"
Lynn Vision,Lynn Vision,1,Asia,1249,"C4LLM3SU3, EmiliaQAQ, Starry, Westmelon, z4KR"
THUNDERdOWNUNDER,THUNDER dOWNUNDER,1,Asia,1224,"aliStair, asap, dexter, Liazz, TjP"
FlyQuest,FlyQuest,1,Asia,1164,"INS, jks, nettik, story, Vexite"
